Package,Subclass,Version,Combined,License(s),Package URL
org.hamcrest,hamcrest-core,2.2,org.hamcrest.hamcrest-core.2.2,No license information found,https://mvnrepository.com/artifact/org.hamcrest/hamcrest-core/2.2
org.hamcrest,hamcrest-library,2.2,org.hamcrest.hamcrest-library.2.2,No license information found,https://mvnrepository.com/artifact/org.hamcrest/hamcrest-library/2.2
org.jetbrains,annotations,15.0,org.jetbrains.annotations.15.0,No license information found,https://mvnrepository.com/artifact/org.jetbrains/annotations/15.0
org.jetbrains.kotlin,kotlin-stdlib,1.8.22,org.jetbrains.kotlin.kotlin-stdlib.1.8.22,No license information found,https://mvnrepository.com/artifact/org.jetbrains.kotlin/kotlin-stdlib/1.8.22
org.jetbrains.kotlin,kotlin-stdlib-common,1.8.22,org.jetbrains.kotlin.kotlin-stdlib-common.1.8.22,No license information found,https://mvnrepository.com/artifact/org.jetbrains.kotlin/kotlin-stdlib-common/1.8.22
org.jetbrains.kotlin,kotlin-stdlib-jdk8,1.8.22,org.jetbrains.kotlin.kotlin-stdlib-jdk8.1.8.22,No license information found,https://mvnrepository.com/artifact/org.jetbrains.kotlin/kotlin-stdlib-jdk8/1.8.22
org.jetbrains.kotlinx,kotlinx-coroutines-android,1.6.4,org.jetbrains.kotlinx.kotlinx-coroutines-android.1.6.4,No license information found,https://mvnrepository.com/artifact/org.jetbrains.kotlinx/kotlinx-coroutines-android/1.6.4
org.jetbrains.kotlinx,kotlinx-coroutines-bom,1.6.4,org.jetbrains.kotlinx.kotlinx-coroutines-bom.1.6.4,No license information found,https://mvnrepository.com/artifact/org.jetbrains.kotlinx/kotlinx-coroutines-bom/1.6.4
org.jetbrains.kotlinx,kotlinx-coroutines-core,1.6.4,org.jetbrains.kotlinx.kotlinx-coroutines-core.1.6.4,No license information found,https://mvnrepository.com/artifact/org.jetbrains.kotlinx/kotlinx-coroutines-core/1.6.4
org.jetbrains.kotlinx,kotlinx-coroutines-core-jvm,1.6.4,org.jetbrains.kotlinx.kotlinx-coroutines-core-jvm.1.6.4,No license information found,https://mvnrepository.com/artifact/org.jetbrains.kotlinx/kotlinx-coroutines-core-jvm/1.6.4
org.json,json,20200518,org.json.json.20200518,No license information found,https://mvnrepository.com/artifact/org.json/json/20200518
org.seleniumhq.selenium,selenium-api,4.14.1,org.seleniumhq.selenium.selenium-api.4.14.1,No license information found,https://mvnrepository.com/artifact/org.seleniumhq.selenium/selenium-api/4.14.1
org.seleniumhq.selenium,selenium-http,4.14.1,org.seleniumhq.selenium.selenium-http.4.14.1,No license information found,https://mvnrepository.com/artifact/org.seleniumhq.selenium/selenium-http/4.14.1
org.seleniumhq.selenium,selenium-json,4.14.1,org.seleniumhq.selenium.selenium-json.4.14.1,No license information found,https://mvnrepository.com/artifact/org.seleniumhq.selenium/selenium-json/4.14.1
org.seleniumhq.selenium,selenium-manager,4.14.1,org.seleniumhq.selenium.selenium-manager.4.14.1,No license information found,https://mvnrepository.com/artifact/org.seleniumhq.selenium/selenium-manager/4.14.1
org.seleniumhq.selenium,selenium-os,4.14.1,org.seleniumhq.selenium.selenium-os.4.14.1,No license information found,https://mvnrepository.com/artifact/org.seleniumhq.selenium/selenium-os/4.14.1
org.seleniumhq.selenium,selenium-remote-driver,4.14.1,org.seleniumhq.selenium.selenium-remote-driver.4.14.1,No license information found,https://mvnrepository.com/artifact/org.seleniumhq.selenium/selenium-remote-driver/4.14.1
org.seleniumhq.selenium,selenium-support,4.14.1,org.seleniumhq.selenium.selenium-support.4.14.1,No license information found,https://mvnrepository.com/artifact/org.seleniumhq.selenium/selenium-support/4.14.1
org.slf4j,slf4j-api,2.0.9,org.slf4j.slf4j-api.2.0.9,No license information found,https://mvnrepository.com/artifact/org.slf4j/slf4j-api/2.0.9
org.slf4j,slf4j-simple,2.0.9,org.slf4j.slf4j-simple.2.0.9,No license information found,https://mvnrepository.com/artifact/org.slf4j/slf4j-simple/2.0.9
project ,app (*),,project .app (*).,No license information found,https://mvnrepository.com/artifact/project /app (*)/
